DOI,DOI_links
10.1016/j.jpowsour.2006.01.070,http://dx.doi.org/10.1016/j.jpowsour.2006.01.070
10.1016/S1001-0521(07)60047-3,http://dx.doi.org/10.1016/S1001-0521(07)60047-3
10.2109/jcersj.114.849,http://dx.doi.org/10.2109/jcersj.114.849
10.1016/j.elecom.2006.07.014,http://dx.doi.org/10.1016/j.elecom.2006.07.014
10.5796/electrochemistry.74.825,http://dx.doi.org/10.5796/electrochemistry.74.825
10.1016/j.jpowsour.2006.02.096,http://dx.doi.org/10.1016/j.jpowsour.2006.02.096
10.1016/j.jpowsour.2006.02.022,http://dx.doi.org/10.1016/j.jpowsour.2006.02.022
10.1016/j.jpowsour.2006.02.019,http://dx.doi.org/10.1016/j.jpowsour.2006.02.019
10.1016/j.jpowsour.2006.04.077,http://dx.doi.org/10.1016/j.jpowsour.2006.04.077
10.1016/j.jpowsour.2006.04.150,http://dx.doi.org/10.1016/j.jpowsour.2006.04.150
10.1016/j.jpowsour.2006.07.046,http://dx.doi.org/10.1016/j.jpowsour.2006.07.046
10.1016/j.jpowsour.2005.07.010,http://dx.doi.org/10.1016/j.jpowsour.2005.07.010
10.1016/j.matlet.2006.03.064,http://dx.doi.org/10.1016/j.matlet.2006.03.064
10.1007/s10008-005-0045-3,http://dx.doi.org/10.1007/s10008-005-0045-3
10.1016/j.electacta.2006.02.067,http://dx.doi.org/10.1016/j.electacta.2006.02.067
10.1016/j.jpowsour.2006.09.034,http://dx.doi.org/10.1016/j.jpowsour.2006.09.034
10.1016/j.apsusc.2006.03.032,http://dx.doi.org/10.1016/j.apsusc.2006.03.032
10.1149/1.2752121,http://dx.doi.org/10.1149/1.2752121
10.1007/s10008-005-0075-x,http://dx.doi.org/10.1007/s10008-005-0075-x
10.1080/12269328.2007.10541267,http://dx.doi.org/10.1080/12269328.2007.10541267
10.1149/1.2720635,http://dx.doi.org/10.1149/1.2720635
10.1149/1.2751838,http://dx.doi.org/10.1149/1.2751838
10.4028/www.scientific.net/SSP.124-126.1055,http://dx.doi.org/10.4028/www.scientific.net/SSP.124-126.1055
